instance_index,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,actual_default
22676,0.44115546,33.0,0.0,0.3235353,5000.0,9.0,0.0,2.0,0.0,0.0,0
22933,0.18675703,30.0,0.0,0.024987506,2000.0,3.0,0.0,0.0,0.0,0.0,0
23049,0.5988024,25.0,0.0,57.0,5400.0,2.0,0.0,0.0,0.0,0.0,0
23218,0.018871846,65.0,0.0,0.066019416,9784.0,18.0,0.0,0.0,0.0,1.0,0
23293,0.0223315,87.0,0.0,26.0,5400.0,8.0,0.0,0.0,0.0,0.0,0
23420,0.053710874,55.0,0.0,1569.0,5400.0,6.0,0.0,1.0,0.0,0.0,0
23751,0.4251497,30.0,0.0,0.39635402,3400.0,5.0,0.0,1.0,0.0,0.0,0
24039,0.51730984,71.0,0.0,2316.0,5400.0,8.0,0.0,1.0,0.0,0.0,0
24524,0.089719884,30.0,0.0,0.30566496,3300.0,7.0,0.0,2.0,0.0,0.0,0
24677,0.5517315,51.0,0.0,0.41855487,7943.0,10.0,0.0,1.0,0.0,0.0,0
24858,0.04207145,75.0,0.0,0.20540665,4327.0,14.0,0.0,1.0,0.0,1.0,0
24866,0.9999999,50.0,0.0,0.5669721,4583.0,10.0,0.0,2.0,0.0,3.0,0
25022,0.009346499,67.0,0.0,0.47793037,4077.0,6.0,0.0,2.0,0.0,0.0,0
25143,0.005071066,36.0,0.0,0.035787743,2430.0,8.0,0.0,0.0,0.0,0.0,0
25573,0.012843349,33.0,0.0,445.0,5400.0,5.0,0.0,0.0,0.0,0.0,0
25590,0.1560879,41.0,0.0,1352.0,5400.0,6.0,0.0,1.0,0.0,0.0,0
26471,0.604072,42.0,0.0,0.3882579,6250.0,3.0,0.0,1.0,0.0,2.0,0
26639,0.03815551,75.0,0.0,830.0,5400.0,7.0,0.0,0.0,0.0,0.0,1
26829,0.037672102,47.0,0.0,0.31826663,9645.0,20.0,0.0,1.0,0.0,1.0,0
27026,0.007924802,57.0,0.0,9.0,5400.0,1.0,0.0,0.0,0.0,0.0,0
27528,0.01435026,59.0,0.0,2079.0,5400.0,15.0,0.0,2.0,0.0,1.0,0
27620,0.03742409,88.0,0.0,0.024174053,2481.0,10.0,0.0,0.0,0.0,0.0,0
28077,0.052285843,35.0,0.0,0.69365734,9916.0,8.0,0.0,2.0,0.0,2.0,0
28873,0.13591728,53.0,0.0,0.19048095,10000.0,3.0,0.0,1.0,0.0,0.0,0
28951,0.010577377,51.0,0.0,847.0,5400.0,11.0,0.0,1.0,0.0,0.0,0
29064,0.29667103,49.0,0.0,0.80673593,6353.0,9.0,0.0,2.0,0.0,4.0,0
29856,0.8326131,52.0,2.0,0.61044824,3100.0,19.0,0.0,0.0,1.0,0.0,0
