instance_index,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,actual_default
3371,60000.0,2.0,2.0,2.0,24.0,-1.0,2.0,-1.0,0.0,0.0,0.0,3485.0,2488.0,20956.0,22462.0,21476.0,23164.0,0.0,24419.0,2018.0,15000.0,2000.0,2000.0,0
3747,30000.0,2.0,3.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,29666.0,29033.0,29345.0,29125.0,29859.0,29016.0,1763.0,1676.0,1456.0,1190.0,1056.0,1592.0,0
3764,350000.0,1.0,1.0,2.0,33.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2394.0,1685.0,563.0,7535.0,0.0,1522.0,1685.0,569.0,7572.0,0.0,1522.0,700.0,1
3811,80000.0,2.0,1.0,2.0,23.0,2.0,2.0,2.0,0.0,0.0,2.0,74860.0,80461.0,78259.0,66068.0,50748.0,51490.0,6865.0,37.0,2122.0,3600.0,1600.0,18.0,1
3815,280000.0,2.0,2.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,82691.0,75867.0,76835.0,70722.0,60694.0,62032.0,3500.0,3200.0,2500.0,2400.0,2500.0,2500.0,0
3859,200000.0,2.0,2.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,193300.0,191254.0,176720.0,164729.0,162097.0,154016.0,6860.0,5870.0,5009.0,5543.0,6037.0,5002.0,0
4000,40000.0,2.0,1.0,2.0,24.0,1.0,2.0,2.0,0.0,0.0,0.0,9958.0,12140.0,11653.0,11762.0,12418.0,13108.0,2500.0,0.0,600.0,1000.0,900.0,1000.0,0
4028,180000.0,2.0,2.0,1.0,53.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,533.0,2329.0,1778.0,2510.0,184.0,533.0,2329.0,1778.0,2514.0,184.0,1103.0,0
4066,230000.0,2.0,1.0,2.0,31.0,0.0,0.0,0.0,-1.0,0.0,-1.0,33109.0,29830.0,11750.0,5194.0,15450.0,9368.0,5000.0,5000.0,15897.0,12000.0,9368.0,6000.0,0
4088,310000.0,2.0,1.0,2.0,28.0,0.0,0.0,0.0,0.0,-1.0,-1.0,36513.0,37628.0,39579.0,40879.0,85.0,4381.0,2500.0,3000.0,1500.0,85.0,4381.0,11100.0,0
4096,20000.0,2.0,2.0,2.0,23.0,0.0,0.0,0.0,0.0,2.0,2.0,11564.0,13063.0,14337.0,15596.0,15204.0,17149.0,2000.0,1500.0,1500.0,0.0,2200.0,0.0,1
4115,360000.0,1.0,2.0,1.0,49.0,1.0,-2.0,-1.0,-1.0,-2.0,-2.0,0.0,0.0,8209.0,-41.0,-41.0,-41.0,0.0,8209.0,0.0,0.0,0.0,0.0,1
4158,500000.0,2.0,2.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,38034.0,39044.0,38458.0,39222.0,40043.0,40854.0,1632.0,1639.0,1403.0,1452.0,1475.0,1117.0,0
4186,90000.0,2.0,2.0,1.0,35.0,1.0,2.0,2.0,2.0,2.0,2.0,23132.0,22474.0,28067.0,27320.0,31199.0,30548.0,0.0,6000.0,0.0,4500.0,0.0,2000.0,0
4238,50000.0,2.0,2.0,1.0,29.0,2.0,3.0,2.0,0.0,0.0,0.0,50136.0,50044.0,46543.0,19359.0,17850.0,18203.0,1000.0,5.0,661.0,770.0,800.0,763.0,1
4345,270000.0,2.0,2.0,2.0,42.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,12263.0,10025.0,0.0,0.0,0.0,0.0,10025.0,0.0,0.0,0.0,0.0,0.0,0
4424,500000.0,2.0,1.0,1.0,47.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,3634.0,296.0,966.0,6675.0,-10.0,2055.0,299.0,1169.0,6708.0,0.0,2065.0,1133.0,0
4435,290000.0,1.0,1.0,2.0,34.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4496,200000.0,2.0,1.0,2.0,31.0,-1.0,2.0,-1.0,2.0,-1.0,-1.0,2905.0,1258.0,1863.0,390.0,390.0,390.0,0.0,2253.0,0.0,390.0,390.0,390.0,0
4499,240000.0,2.0,2.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,138859.0,136521.0,135459.0,117308.0,107928.0,103799.0,5308.0,4915.0,4100.0,4000.0,4002.0,4000.0,1
4516,300000.0,2.0,1.0,2.0,31.0,0.0,0.0,0.0,-1.0,-1.0,0.0,34515.0,60700.0,33843.0,5045.0,10288.0,12565.0,30000.0,5000.0,5045.0,10288.0,5000.0,5000.0,1
4562,300000.0,2.0,2.0,1.0,35.0,0.0,0.0,0.0,0.0,-1.0,0.0,155493.0,179071.0,42404.0,71493.0,13547.0,27710.0,50706.0,30028.0,60300.0,27054.0,25003.0,10.0,0
4593,90000.0,1.0,2.0,2.0,33.0,2.0,2.0,2.0,2.0,2.0,2.0,62011.0,63426.0,64288.0,65236.0,66639.0,67893.0,3000.0,2500.0,2600.0,2600.0,2500.0,2800.0,1
4625,180000.0,1.0,1.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,40310.0,41634.0,44959.0,50198.0,52361.0,55510.0,2000.0,4000.0,6000.0,3000.0,4000.0,3000.0,0
4644,140000.0,2.0,1.0,2.0,32.0,0.0,0.0,0.0,0.0,2.0,2.0,142043.0,0.0,137909.0,138999.0,137275.0,136141.0,7000.0,0.0,5000.0,9100.0,3400.0,0.0,0
4745,70000.0,2.0,2.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,71219.0,71110.0,69843.0,70834.0,70405.0,71004.0,2900.0,3200.0,2800.0,2458.0,2800.0,2901.0,0
4816,80000.0,1.0,1.0,1.0,40.0,0.0,0.0,2.0,2.0,2.0,2.0,28054.0,31201.0,31594.0,30787.0,34513.0,34995.0,3600.0,1200.0,0.0,4246.0,1200.0,1500.0,1
4871,420000.0,1.0,2.0,1.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,193370.0,198053.0,202618.0,197985.0,200163.0,2559.0,4988.0,4976.0,6019.0,5065.0,1035.0,182778.0,0
4908,110000.0,1.0,2.0,2.0,28.0,2.0,2.0,2.0,2.0,2.0,0.0,109241.0,111541.0,113676.0,114223.0,110876.0,107710.0,5600.0,5400.0,4000.0,0.0,4000.0,3700.0,1
4964,450000.0,2.0,1.0,1.0,36.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,3961.0,2483.0,74.0,-73.0,14590.0,-70.0,2495.0,100.0,0.0,14663.0,0.0,14121.0,0
4976,20000.0,1.0,3.0,2.0,27.0,3.0,2.0,2.0,5.0,5.0,4.0,1200.0,1200.0,1200.0,1200.0,1200.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4979,350000.0,2.0,3.0,2.0,28.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5038,50000.0,1.0,3.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,44258.0,28040.0,27935.0,51904.0,24147.0,24425.0,2489.0,1384.0,841.0,1013.0,819.0,15154.0,0
5064,80000.0,1.0,2.0,2.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,8613.0,12438.0,15212.0,15657.0,17404.0,19103.0,4000.0,3000.0,1000.0,2000.0,2000.0,2836.0,0
5089,140000.0,2.0,2.0,1.0,58.0,2.0,2.0,2.0,2.0,2.0,2.0,68859.0,70428.0,71902.0,72924.0,72335.0,75508.0,3300.0,3200.0,2800.0,1200.0,4500.0,3000.0,1
5263,310000.0,1.0,2.0,1.0,42.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2647.0,4206.0,1858.0,3057.0,2538.0,3069.0,4206.0,1858.0,3057.0,2538.0,3069.0,6591.0,1
5306,20000.0,2.0,2.0,1.0,32.0,2.0,0.0,0.0,0.0,2.0,2.0,15073.0,15431.0,16176.0,18204.0,17614.0,18826.0,1600.0,1300.0,2300.0,0.0,1500.0,0.0,1
5377,440000.0,1.0,1.0,1.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,429309.0,437906.0,447326.0,447112.0,438187.0,447543.0,15715.0,16519.0,16513.0,15800.0,16531.0,15677.0,0
5396,500000.0,1.0,1.0,2.0,29.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,20641.0,25986.0,23721.0,20799.0,34132.0,56917.0,26111.0,24112.0,20886.0,28032.0,57196.0,49720.0,0
5483,70000.0,2.0,2.0,2.0,23.0,-2.0,-2.0,-1.0,0.0,-1.0,0.0,0.0,3999.0,44446.0,21436.0,19987.0,19939.0,3999.0,44446.0,41.0,19995.0,6000.0,10305.0,0
5492,20000.0,1.0,1.0,2.0,28.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,7381.0,2769.0,3503.0,4809.0,5732.0,8632.0,3000.0,3010.0,6000.0,1000.0,3000.0,0.0,1
5617,50000.0,1.0,2.0,2.0,25.0,2.0,2.0,2.0,0.0,0.0,0.0,19775.0,21679.0,18566.0,19918.0,19584.0,18508.0,3800.0,0.0,2000.0,1500.0,1000.0,2000.0,1
5761,140000.0,1.0,3.0,2.0,33.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,500.0,473.0,-27.0,3788.0,0.0,9386.0,473.0,0.0,3815.0,0.0,9386.0,722.0,0
5763,360000.0,2.0,2.0,2.0,42.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,24081.0,14231.0,23040.0,5651.0,7017.0,6495.0,6068.0,23154.0,5679.0,7052.0,6527.0,4601.0,0
5764,300000.0,2.0,1.0,2.0,28.0,-1.0,-1.0,-1.0,-1.0,-2.0,-1.0,14033.0,6500.0,1477.0,0.0,0.0,1346.0,6520.0,1477.0,0.0,0.0,1346.0,0.0,1
5942,100000.0,1.0,1.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,23070.0,18806.0,20183.0,21540.0,25775.0,0.0,1700.0,2000.0,2000.0,5000.0,0.0,0.0,0
